clip,grid,Mean_Dice,Mean_PQ
1.0,"(32, 32)",0.3985583353254966,0.3181305802558552
0.5,"(32, 32)",0.3985583353254966,0.3181305802558552
1.5,"(32, 32)",0.3985583353254966,0.3181305802558552
1.5,"(4, 4)",0.40517954196788714,0.3146488946131637
1.5,"(12, 12)",0.4037614499153142,0.31346027764332407
1.5,"(24, 24)",0.40405042987560413,0.31266799770759235
2.0,"(12, 12)",0.4030426101911865,0.31241630920592084
2.0,"(8, 8)",0.40241889685839194,0.31203403226395404
1.0,"(4, 4)",0.4044840163620962,0.3119229145845394
1.0,"(8, 8)",0.40448487121422555,0.3117554817623236
1.0,"(12, 12)",0.40336766603980606,0.3117123023260979
1.5,"(8, 8)",0.4031812581857236,0.3112314536428514
0.5,"(24, 24)",0.40022813306636434,0.309986140330762
1.0,"(24, 24)",0.40022813306636434,0.309986140330762
2.0,"(4, 4)",0.4024952268737286,0.3095184942625883
2.5,"(12, 12)",0.40027961537459483,0.30940752551201234
2.5,"(4, 4)",0.4011476121656563,0.30850475836053987
2.5,"(8, 8)",0.40035015208911073,0.3084788375275861
0.5,"(8, 8)",0.4027794084038443,0.3083147414843191
4.0,"(24, 24)",0.3879664458186632,0.3082487114069994
0.5,"(12, 12)",0.40194945913761043,0.30809289349611296
0.5,"(4, 4)",0.40243683579801626,0.3079825983183155
3.0,"(12, 12)",0.39853539580448866,0.30699818445047644
3.0,"(8, 8)",0.3990010986989639,0.3067015039017101
3.0,"(4, 4)",0.39808134452370897,0.30358302715642715
5.0,"(24, 24)",0.3919555476940052,0.30103673467513986
4.0,"(12, 12)",0.3947830296222582,0.30092059248557523
4.0,"(8, 8)",0.3958015442380441,0.3003945164479891
4.0,"(4, 4)",0.3957240336360995,0.2989022185663695
5.0,"(8, 8)",0.3847746522696323,0.295461699152931
5.0,"(12, 12)",0.38395201365192894,0.29527445409622877
5.0,"(4, 4)",0.3931984171460606,0.29437957169223095
7.5,"(24, 24)",0.37943611645596703,0.2916191821008362
7.5,"(8, 8)",0.3909809226238478,0.2908732429666493
7.5,"(12, 12)",0.3896402282203289,0.2894652886889152
7.5,"(4, 4)",0.39054689101056256,0.2889540731032499
10.0,"(24, 24)",0.3860458699889891,0.2876270091613011
10.0,"(8, 8)",0.3887572842270319,0.28732161952389795
7.5,"(16, 16)",0.3874598996570394,0.28691591747030415
10.0,"(4, 4)",0.38825090478100416,0.2851920815221488
10.0,"(12, 12)",0.38688622875845047,0.2846585468406521
1.0,"(16, 16)",0.3744093427632164,0.257654002735291
2.5,"(32, 32)",0.3700765320360251,0.2552673999145406
2.0,"(32, 32)",0.3700765320360251,0.2552673999145406
1.5,"(16, 16)",0.3740208924246763,0.2548968956911675
2.5,"(24, 24)",0.37449201289575107,0.2542250186838183
2.0,"(24, 24)",0.37284719511035885,0.25079525093281285
2.0,"(16, 16)",0.371902551098397,0.2503683265755345
2.5,"(16, 16)",0.37202037834911533,0.2503351905128974
3.0,"(24, 24)",0.37111048854460016,0.250157273856784
3.0,"(16, 16)",0.3694853714090101,0.24591013631284614
4.0,"(16, 16)",0.36687433515804607,0.2409867058962428
5.0,"(16, 16)",0.36535099587030767,0.23607331385026029
10.0,"(16, 16)",0.36033064505463347,0.22544821320479994
0.5,"(16, 16)",0.32479020366382516,0.2137949081857046
4.0,"(32, 32)",0.29562634756598244,0.16178013038166728
3.0,"(32, 32)",0.2952699558925333,0.16097130216975233
5.0,"(32, 32)",0.26506465237880733,0.09520647674108394
7.5,"(32, 32)",0.2650702210743371,0.09519268333683173
10.0,"(32, 32)",0.2565380301717649,0.09444698156332454
