sigma,alpha,Mean_Dice,Mean_PQ
1.2,2.0,0.8923946480997118,0.8425422381508357
1.0,3.0,0.8639221351598498,0.8196567942614278
0.8,2.5,0.8619702160807966,0.8180806165142699
0.8,3.0,0.8617211469825342,0.8173635168365881
1.0,2.5,0.8610626442989434,0.8167603812615842
1.5,2.5,0.8592682933728696,0.8157364713298001
1.2,3.0,0.8595228770417654,0.8155651554278575
1.5,1.75,0.8592510573611095,0.8151780359445668
1.0,2.0,0.8580564271613186,0.8145725025265911
1.2,1.75,0.857746022664865,0.8140637766928421
1.2,2.5,0.8567132045603916,0.8127237169584306
1.5,2.0,0.8564288530404551,0.8123247937041274
1.2,0.75,0.8489407659403841,0.7986993664392773
1.5,0.75,0.8465682666929238,0.7963190271772254
5.0,3.0,0.828652548263401,0.79383691797539
1.5,3.0,0.82623454960516,0.7894852937392205
0.8,0.75,0.8283927681177279,0.7849503211773683
0.8,0.5,0.8289229868326397,0.7849330926201565
1.0,1.75,0.8133767100688853,0.7844954133375809
0.5,0.5,0.8277695091542177,0.7838320497667439
1.2,0.5,0.8273848995211217,0.7834735517124083
2.0,0.75,0.8256995486713078,0.7824162108223345
2.5,0.75,0.8254804785839234,0.7822608713642445
0.8,2.0,0.8105112838217378,0.7820655635708285
2.0,2.0,0.8196186950669123,0.7819522364653265
0.5,3.0,0.8088760794567206,0.7815602219684763
1.0,0.5,0.8248296283297389,0.780652707139779
2.5,2.0,0.8170412761740059,0.7792359856621368
2.0,1.75,0.81620358555521,0.7788094328309274
1.5,0.5,0.8192437189101903,0.7761111918986746
1.5,1.5,0.8055196630352375,0.7755317430201447
1.2,1.5,0.8054290475011274,0.7752645464871275
0.5,1.75,0.8028658903652541,0.7749881127752632
1.0,1.5,0.804114901267101,0.7743391822197683
1.5,1.25,0.8018412140057399,0.7729223903339614
0.5,1.25,0.8005634679470253,0.7724308267988462
0.8,1.25,0.7999849581571645,0.7718092235365817
1.0,0.75,0.799819752763581,0.7716722021062475
2.0,1.25,0.8003419645098045,0.7715928368513714
5.0,0.5,0.8078854537399323,0.7712215134010946
0.5,1.5,0.7987277543841749,0.7710230629311597
4.0,0.75,0.8081216404493327,0.7707844079230536
4.0,0.5,0.8068169954858687,0.7706129101118576
3.0,1.25,0.7984991755637992,0.769184910698388
5.0,0.75,0.8063034482896472,0.7691029296847446
2.0,1.5,0.797450473475317,0.7681503717643784
3.0,0.75,0.8033208756314609,0.7662051874740088
2.5,1.25,0.7946384108371365,0.7656369117746152
5.0,1.25,0.7937032720957691,0.7649760651894736
2.5,2.5,0.792879098156635,0.7636923150972701
0.8,1.5,0.7841892161602928,0.7623199417727429
3.0,3.0,0.7901099175057287,0.7612101103156562
0.5,0.75,0.7813334725287101,0.7595991393331192
1.0,1.25,0.7807864881998777,0.7593386013505354
1.2,1.25,0.7810586108847967,0.7593022280594556
2.0,2.5,0.7884936854876502,0.7583571876218341
3.0,2.5,0.7873884436766707,0.7582508771379232
0.5,1.0,0.7796844663026696,0.7579919417102914
3.0,1.0,0.7796844663026696,0.7579919417102914
5.0,1.0,0.7796844663026696,0.7579919417102914
4.0,1.0,0.7796844663026696,0.7579919417102914
1.0,1.0,0.7796844663026696,0.7579919417102914
0.8,1.0,0.7796844663026696,0.7579919417102914
2.0,1.0,0.7796844663026696,0.7579919417102914
1.2,1.0,0.7796844663026696,0.7579919417102914
1.5,1.0,0.7796844663026696,0.7579919417102914
2.5,1.0,0.7796844663026696,0.7579919417102914
3.0,0.5,0.7929750408452508,0.7577880443925001
2.5,3.0,0.786708714811842,0.7577532746164293
0.8,1.75,0.7806461804420389,0.7575664870399296
2.0,3.0,0.78708218395001,0.7575494144200515
2.5,0.5,0.7914027933618112,0.7561518564237668
2.0,0.5,0.7901595553410259,0.75485144846252
0.5,2.0,0.7764564464440122,0.7548086149393372
3.0,2.0,0.7821604851372858,0.7531691245286306
0.5,2.5,0.7726405092370409,0.7511291447130374
3.0,1.75,0.7796219855988127,0.7479356329926866
2.5,1.75,0.7787999029315197,0.7471607856826984
4.0,1.25,0.7593388027932481,0.7363804150232104
4.0,3.0,0.7586748500684155,0.7352203044962318
4.0,2.5,0.7567948203256789,0.7342484223620193
5.0,1.5,0.7548561551189034,0.7325032792268468
5.0,2.0,0.7544080158563516,0.7321377424403784
3.0,1.5,0.755319192727033,0.7316222198798379
2.5,1.5,0.754637466246966,0.7310074717483216
4.0,1.75,0.7528834708336085,0.7299017822198143
5.0,2.5,0.7518687529384872,0.7297498199211222
4.0,1.5,0.7527728597674811,0.7295827317035387
4.0,2.0,0.7527096384203069,0.7295391640427068
5.0,1.75,0.751423220069639,0.7289409252220337
